Date,School,Class,Student Name,Status
2024-01-01,Nan Chiau Primary,P3-2,Dinesh Kumar,Present
2024-01-01,Nan Chiau Primary,P3-2,Nur Aisyah,Absent
2024-01-01,Nan Chiau Primary,P3-2,Ong Kai Wen,Present
2024-01-01,Nan Chiau Primary,P3-2,Kiran Raj,Present
2024-01-01,Nan Chiau Primary,P3-2,Samuel Goh,Present
2024-01-01,Nan Chiau Primary,P3-2,Lakshmi Devi,Present
2024-01-01,Nan Chiau Primary,P3-2,Evelyn Ong,Present
2024-01-01,Nan Chiau Primary,P3-2,Quek Jun Hao,Present
2024-01-01,Nan Chiau Primary,P5-3,Cheryl Lim,Present
2024-01-01,Nan Chiau Primary,P5-3,Benjamin Lee,Present
2024-01-01,Nan Chiau Primary,P5-3,Quek Jun Hao,Present
2024-01-01,Nan Chiau Primary,P5-3,Rachel Tan,Present
2024-01-01,Nan Chiau Primary,P5-3,Mohammed Irfan,Present
2024-01-01,Nan Chiau Primary,P5-3,Tan Wei Ling,Present
2024-01-01,Nan Chiau Primary,P5-3,Evelyn Ong,Present
2024-01-01,Nan Chiau Primary,P5-3,Ong Kai Wen,Present
2024-01-01,Tampines Primary,P5-2,Cheryl Lim,Present
2024-01-01,Tampines Primary,P5-2,Kiran Raj,Present
2024-01-01,Tampines Primary,P5-2,Goh Wei Jie,Present
2024-01-01,Tampines Primary,P5-2,Mohammed Irfan,Present
2024-01-01,Tampines Primary,P5-2,Farah Binte Ali,Present
2024-01-01,Tampines Primary,P5-2,Javier Low,Present
2024-01-01,Tampines Primary,P5-2,Benjamin Lee,Present
2024-01-01,Tampines Primary,P5-2,Tan Wei Ling,Present
2024-01-01,Tampines Primary,P5-4,Ong Kai Wen,Present
2024-01-01,Tampines Primary,P5-4,Evelyn Ong,Present
2024-01-01,Tampines Primary,P5-4,Benjamin Lee,Present
2024-01-01,Tampines Primary,P5-4,Goh Wei Jie,Present
2024-01-01,Tampines Primary,P5-4,Farah Binte Ali,Present
2024-01-01,Tampines Primary,P5-4,Aidan Tan,Present
2024-01-01,Tampines Primary,P5-4,Quek Jun Hao,Present
2024-01-01,Tampines Primary,P5-4,Rachel Tan,Present
2024-01-01,Henry Park Primary,P3-2,Cheryl Lim,Present
2024-01-01,Henry Park Primary,P3-2,Aidan Tan,Present
2024-01-01,Henry Park Primary,P3-2,Evelyn Ong,Present
2024-01-01,Henry Park Primary,P3-2,Hannah Ng,Present
2024-01-01,Henry Park Primary,P3-2,Benjamin Lee,Present
2024-01-01,Henry Park Primary,P3-2,Lakshmi Devi,Absent
2024-01-01,Henry Park Primary,P3-2,Quek Jun Hao,Present
2024-01-01,Henry Park Primary,P3-2,Nur Aisyah,Present
2024-01-01,Henry Park Primary,P6-2,Tan Wei Ling,Present
2024-01-01,Henry Park Primary,P6-2,Dinesh Kumar,Present
2024-01-01,Henry Park Primary,P6-2,Lakshmi Devi,Present
2024-01-01,Henry Park Primary,P6-2,Isabelle Chua,Present
2024-01-01,Henry Park Primary,P6-2,Nur Aisyah,Present
2024-01-01,Henry Park Primary,P6-2,Aidan Tan,Present
2024-01-01,Henry Park Primary,P6-2,Priscilla Koh,Present
2024-01-01,Henry Park Primary,P6-2,Mohammed Irfan,Present
2024-01-02,Raffles Institution,P5-4,Tan Wei Ling,Present
2024-01-02,Raffles Institution,P5-4,Mohammed Irfan,Absent
2024-01-02,Raffles Institution,P5-4,Hannah Ng,Present
2024-01-02,Raffles Institution,P5-4,Nur Aisyah,Present
2024-01-02,Raffles Institution,P5-4,Rachel Tan,Present
2024-01-02,Raffles Institution,P5-4,Javier Low,Present
2024-01-02,Raffles Institution,P5-4,Priscilla Koh,Present
2024-01-02,Raffles Institution,P5-4,Cheryl Lim,Present
2024-01-02,Raffles Institution,P2-4,Samuel Goh,Present
2024-01-02,Raffles Institution,P2-4,Aidan Tan,Present
2024-01-02,Raffles Institution,P2-4,Tan Wei Ling,Present
2024-01-02,Raffles Institution,P2-4,Benjamin Lee,Present
2024-01-02,Raffles Institution,P2-4,Dinesh Kumar,Present
2024-01-02,Raffles Institution,P2-4,Kiran Raj,Present
2024-01-02,Raffles Institution,P2-4,Cheryl Lim,Present
2024-01-02,Raffles Institution,P2-4,Goh Wei Jie,Absent
2024-01-02,Ai Tong School,P4-2,Javier Low,Present
2024-01-02,Ai Tong School,P4-2,Lakshmi Devi,Absent
2024-01-02,Ai Tong School,P4-2,Rachel Tan,Present
2024-01-02,Ai Tong School,P4-2,Samuel Goh,Present
2024-01-02,Ai Tong School,P4-2,Aidan Tan,Present
2024-01-02,Ai Tong School,P4-2,Isabelle Chua,Absent
2024-01-02,Ai Tong School,P4-2,Dinesh Kumar,Present
2024-01-02,Ai Tong School,P4-2,Goh Wei Jie,Present
2024-01-02,Ai Tong School,P3-4,Dinesh Kumar,Absent
2024-01-02,Ai Tong School,P3-4,Quek Jun Hao,Present
2024-01-02,Ai Tong School,P3-4,Rachel Tan,Present
2024-01-02,Ai Tong School,P3-4,Nur Aisyah,Present
2024-01-02,Ai Tong School,P3-4,Hannah Ng,Present
2024-01-02,Ai Tong School,P3-4,Cheryl Lim,Present
2024-01-02,Ai Tong School,P3-4,Priscilla Koh,Present
2024-01-02,Ai Tong School,P3-4,Ong Kai Wen,Present
2024-01-02,Nan Chiau Primary,P6-4,Isabelle Chua,Present
2024-01-02,Nan Chiau Primary,P6-4,Kiran Raj,Present
2024-01-02,Nan Chiau Primary,P6-4,Priscilla Koh,Present
2024-01-02,Nan Chiau Primary,P6-4,Benjamin Lee,Present
2024-01-02,Nan Chiau Primary,P6-4,Rachel Tan,Present
2024-01-02,Nan Chiau Primary,P6-4,Lakshmi Devi,Present
2024-01-02,Nan Chiau Primary,P6-4,Evelyn Ong,Present
2024-01-02,Nan Chiau Primary,P6-4,Nur Aisyah,Present
2024-01-02,Nan Chiau Primary,P1-2,Ong Kai Wen,Present
2024-01-02,Nan Chiau Primary,P1-2,Farah Binte Ali,Present
2024-01-02,Nan Chiau Primary,P1-2,Aidan Tan,Absent
2024-01-02,Nan Chiau Primary,P1-2,Cheryl Lim,Present
2024-01-02,Nan Chiau Primary,P1-2,Evelyn Ong,Present
