School,Student_ID,Name,Class,Gender,Date,Status,Reason,Absent
Singapore Chinese Girls' School,S1000,Gabriel Chua,Sec2-2,F,2022-04-18,Present,,0
Bukit Merah Secondary School,S1001,Lucas Tan,Sec1-3,F,2025-02-19,Present,,0
Victoria School,S1002,Isaac Koh,Sec5-2,M,2024-01-02,Absent,Medical Leave,1
CHIJ Katong Convent,S1003,Aaron Tan,Sec1-4,F,2024-05-11,Present,,0
Dunman High School,S1004,Benjamin Lee,Sec5-2,M,2023-12-21,Absent,Truancy,1
Presbyterian High School,S1005,Daniel Ong,Sec2-2,F,2025-04-14,Present,,0
Zhonghua Secondary School,S1006,Bella Tan,Sec1-1,M,2025-08-07,Absent,Truancy,1
Gan Eng Seng School,S1007,Daniel Ong,Sec2-1,F,2023-06-16,Absent,Sick,1
Temasek Secondary School,S1008,Isaac Koh,Sec1-1,F,2022-11-07,Absent,Truancy,1
Presbyterian High School,S1009,Jayden Ho,Sec4-1,F,2024-10-30,Present,,0
Jurong Secondary School,S1010,Isabelle Ho,Sec2-4,M,2023-04-24,Present,,0
Bukit Merah Secondary School,S1011,Aaron Tan,Sec1-2,M,2022-07-20,Present,,0
Gan Eng Seng School,S1012,Adele Lim,Sec5-4,F,2023-03-17,Present,,0
Singapore Chinese Girls' School,S1013,Ethan Ng,Sec4-2,F,2024-07-11,Present,,0
Anderson Secondary School,S1014,Gabriel Chua,Sec2-4,M,2024-11-08,Absent,Truancy,1
Presbyterian High School,S1015,Aaron Tan,Sec5-1,F,2024-10-24,Present,,0
Victoria School,S1016,Marcus Teo,Sec4-2,M,2022-02-20,Present,,0
Temasek Secondary School,S1017,Isabelle Ho,Sec5-2,F,2025-10-20,Present,,0
Regent Secondary School,S1018,Marcus Teo,Sec5-4,F,2025-03-14,Absent,Unknown,1
Springfield Secondary School,S1019,Lucas Tan,Sec5-1,F,2024-12-01,Present,,0
Hougang Secondary School,S1020,Gabriel Chua,Sec2-1,F,2024-12-10,Present,,0
Bukit Merah Secondary School,S1021,Adele Lim,Sec2-3,F,2024-01-20,Absent,Truancy,1
Temasek Secondary School,S1022,Isaac Koh,Sec4-4,F,2022-08-24,Present,,0
CHIJ Katong Convent,S1023,Isabelle Ho,Sec5-3,F,2023-03-06,Absent,MC,1
Dunman High School,S1024,Jasmine Tan,Sec3-1,F,2024-09-26,Late,,0
Peicai Secondary School,S1025,Caleb Lim,Sec5-1,F,2025-04-08,Absent,Truancy,1
Anderson Secondary School,S1026,Aaron Tan,Sec2-4,F,2024-02-06,Present,,0
Clementi Town Secondary School,S1027,Caleb Lim,Sec1-4,F,2025-09-30,Present,,0
Clementi Town Secondary School,S1028,Adele Lim,Sec3-4,F,2023-12-19,Present,,0
Bukit Merah Secondary School,S1029,Bella Tan,Sec4-3,F,2024-07-01,Present,,0
Dunman High School,S1030,Benjamin Lee,Sec4-2,F,2025-09-15,Present,,0
Yishun Town Secondary School,S1031,Grace Lim,Sec5-2,F,2022-07-07,Present,,0
Jurong Secondary School,S1032,Jasmine Tan,Sec5-4,F,2023-09-07,Present,,0
Anglican High School,S1033,Lucas Tan,Sec4-3,F,2025-10-12,Present,,0
CHIJ Katong Convent,S1034,Jasmine Tan,Sec1-3,F,2025-01-20,Present,,0
CHIJ Katong Convent,S1035,Marcus Teo,Sec2-1,F,2023-11-14,Present,,0
Peicai Secondary School,S1036,Bella Tan,Sec3-2,M,2022-07-01,Absent,Medical Leave,1
Clementi Town Secondary School,S1037,Adele Lim,Sec3-3,F,2022-03-01,Present,,0
Regent Secondary School,S1038,Daphne Lee,Sec1-3,M,2023-07-01,Absent,Sick,1
Fairfield Methodist Secondary School,S1039,Adele Lim,Sec3-2,F,2022-11-11,Present,,0
Compassvale Secondary School,S1040,Daphne Lee,Sec3-2,F,2023-02-20,Present,,0
Holy Innocents' High School,S1041,Gabriel Chua,Sec2-3,M,2023-06-13,Present,,0
Presbyterian High School,S1042,Gabriel Chua,Sec5-4,F,2024-11-15,Present,,0
Hougang Secondary School,S1043,Faith Goh,Sec2-1,M,2025-10-05,Absent,Sick,1
Hougang Secondary School,S1044,Caleb Lim,Sec4-3,F,2024-12-17,Present,,0
Victoria School,S1045,Hannah Ong,Sec1-1,F,2025-02-15,Present,,0
CHIJ Katong Convent,S1046,Caleb Lim,Sec2-3,M,2024-12-09,Present,,0
Kent Ridge Secondary School,S1047,Daphne Lee,Sec1-1,M,2024-06-17,Present,,0
Presbyterian High School,S1048,Jayden Ho,Sec2-2,F,2023-06-30,Present,,0
Singapore Chinese Girls' School,S1049,Ethan Ng,Sec4-2,M,2025-07-11,Present,,0
Regent Secondary School,S1050,Isabelle Ho,Sec4-4,M,2023-06-21,Absent,Truancy,1
Compassvale Secondary School,S1051,Adele Lim,Sec4-3,F,2024-01-14,Present,,0
Anderson Secondary School,S1052,Daniel Ong,Sec4-2,F,2022-09-30,Absent,Truancy,1
Holy Innocents' High School,S1053,Charlotte Ng,Sec4-1,M,2023-01-19,Present,,0
Dunman High School,S1054,Isabelle Ho,Sec5-2,F,2025-02-25,Present,,0
St. Andrew's Secondary School,S1055,Isabelle Ho,Sec4-2,F,2024-11-02,Absent,Truancy,1
Victoria School,S1056,Gabriel Chua,Sec1-4,F,2025-08-25,Present,,0
Holy Innocents' High School,S1057,Bella Tan,Sec2-2,M,2022-07-15,Present,,0
Nan Chiau High School,S1058,Adele Lim,Sec2-3,M,2024-09-24,Absent,Other,1
Anderson Secondary School,S1059,Aaron Tan,Sec4-4,M,2023-09-18,Present,,0
CHIJ Katong Convent,S1060,Daniel Ong,Sec3-4,M,2024-08-23,Present,,0
CHIJ Katong Convent,S1061,Caleb Lim,Sec2-2,F,2024-04-20,Present,,0
Springfield Secondary School,S1062,Aaron Tan,Sec5-2,F,2023-06-14,Present,,0
Gan Eng Seng School,S1063,Jasmine Tan,Sec4-2,F,2025-04-19,Present,,0
Fairfield Methodist Secondary School,S1064,Charlotte Ng,Sec2-3,F,2023-09-08,Present,,0
Yishun Town Secondary School,S1065,Lucas Tan,Sec2-3,F,2022-04-20,Absent,Sick,1
CHIJ Katong Convent,S1066,Charlotte Ng,Sec4-3,M,2025-03-31,Present,,0
Hougang Secondary School,S1067,Lucas Tan,Sec3-1,F,2024-12-04,Present,,0
Holy Innocents' High School,S1068,Jayden Ho,Sec4-2,F,2023-03-14,Late,,0
Presbyterian High School,S1069,Aaron Tan,Sec3-2,F,2024-01-16,Absent,Truancy,1
Hougang Secondary School,S1070,Ella Chua,Sec2-4,F,2023-10-25,Absent,Truancy,1
Singapore Chinese Girls' School,S1071,Caleb Lim,Sec2-2,M,2024-08-14,Present,,0
St. Patrick's School,S1072,Daphne Lee,Sec4-2,F,2024-01-16,Present,,0
Peicai Secondary School,S1073,Bella Tan,Sec5-4,M,2024-05-30,Present,,0
Maris Stella High School,S1074,Bella Tan,Sec3-4,M,2023-12-26,Late,,0
Compassvale Secondary School,S1075,Ella Chua,Sec1-1,M,2023-03-21,Present,,0
Fairfield Methodist Secondary School,S1076,Benjamin Lee,Sec4-3,F,2023-07-15,Present,,0
Jurong Secondary School,S1077,Benjamin Lee,Sec4-3,M,2022-03-16,Present,,0
Hougang Secondary School,S1078,Benjamin Lee,Sec1-1,M,2025-09-07,Present,,0
Victoria School,S1079,Adele Lim,Sec5-1,M,2022-07-17,Present,,0
Presbyterian High School,S1080,Jasmine Tan,Sec2-1,F,2025-07-27,Present,,0
Clementi Town Secondary School,S1081,Bella Tan,Sec2-1,M,2024-11-19,Present,,0
Holy Innocents' High School,S1082,Daphne Lee,Sec3-4,M,2022-10-18,Present,,0
Presbyterian High School,S1083,Jayden Ho,Sec2-1,F,2024-06-02,Present,,0
CHIJ Katong Convent,S1084,Daphne Lee,Sec4-2,F,2022-04-23,Present,,0
Regent Secondary School,S1085,Gabriel Chua,Sec3-4,F,2025-08-23,Present,,0
Compassvale Secondary School,S1086,Daphne Lee,Sec1-2,M,2023-03-05,Absent,MC,1
Anderson Secondary School,S1087,Benjamin Lee,Sec1-3,F,2025-02-02,Absent,Family Matter,1
St. Patrick's School,S1088,Lucas Tan,Sec5-4,F,2023-03-28,Present,,0
Temasek Secondary School,S1089,Hannah Ong,Sec4-2,M,2022-02-10,Present,,0
Nan Chiau High School,S1090,Aaron Tan,Sec4-1,M,2025-04-07,Present,,0
Victoria School,S1091,Caleb Lim,Sec5-2,F,2024-07-30,Present,,0
Compassvale Secondary School,S1092,Charlotte Ng,Sec4-3,F,2022-01-27,Present,,0
Dunman High School,S1093,Daphne Lee,Sec2-3,M,2025-08-08,Present,,0
Nan Chiau High School,S1094,Isaac Koh,Sec1-1,M,2024-12-02,Present,,0
Anglican High School,S1095,Faith Goh,Sec2-1,F,2023-05-06,Present,,0
Bedok Green Secondary School,S1096,Jasmine Tan,Sec2-3,F,2023-05-13,Present,,0
Victoria School,S1097,Marcus Teo,Sec3-3,F,2024-12-09,Absent,Family Matter,1
Clementi Town Secondary School,S1098,Isabelle Ho,Sec1-2,F,2025-03-19,Absent,Unknown,1
St. Andrew's Secondary School,S1099,Jayden Ho,Sec1-3,M,2023-12-04,Present,,0
Kent Ridge Secondary School,S1100,Charlotte Ng,Sec5-2,M,2023-03-18,Present,,0
Zhonghua Secondary School,S1101,Faith Goh,Sec4-1,F,2022-04-17,Present,,0
Maris Stella High School,S1102,Isabelle Ho,Sec2-2,F,2025-07-24,Present,,0
Anderson Secondary School,S1103,Marcus Teo,Sec5-4,F,2023-02-16,Present,,0
Gan Eng Seng School,S1104,Jayden Ho,Sec2-4,M,2022-09-02,Present,,0
Temasek Secondary School,S1105,Ella Chua,Sec5-4,F,2023-07-01,Present,,0
Presbyterian High School,S1106,Gabriel Chua,Sec1-2,M,2023-10-01,Absent,Medical Leave,1
Gan Eng Seng School,S1107,Daniel Ong,Sec4-3,M,2025-11-01,Present,,0
Springfield Secondary School,S1108,Faith Goh,Sec1-3,M,2023-01-04,Present,,0
Victoria School,S1109,Grace Lim,Sec4-3,F,2025-10-04,Absent,Truancy,1
Presbyterian High School,S1110,Ella Chua,Sec4-3,M,2025-01-23,Absent,Truancy,1
CHIJ Katong Convent,S1111,Isabelle Ho,Sec2-4,F,2022-01-21,Present,,0
Jurong Secondary School,S1112,Daphne Lee,Sec3-2,F,2024-12-13,Present,,0
Bukit Merah Secondary School,S1113,Ethan Ng,Sec2-3,M,2024-08-12,Late,,0
Yishun Town Secondary School,S1114,Marcus Teo,Sec5-1,M,2025-03-31,Present,,0
Regent Secondary School,S1115,Lucas Tan,Sec3-1,F,2025-05-12,Absent,Medical Leave,1
Kent Ridge Secondary School,S1116,Charlotte Ng,Sec3-2,M,2022-06-24,Present,,0
Clementi Town Secondary School,S1117,Gabriel Chua,Sec1-4,F,2023-12-22,Present,,0
Cedar Girls' Secondary School,S1118,Aaron Tan,Sec2-4,F,2025-04-24,Present,,0
Nan Chiau High School,S1119,Jasmine Tan,Sec4-1,M,2024-02-10,Present,,0
Singapore Chinese Girls' School,S1120,Ethan Ng,Sec5-4,F,2025-03-08,Present,,0
Bedok Green Secondary School,S1121,Jasmine Tan,Sec3-4,M,2022-08-11,Present,,0
Anglican High School,S1122,Grace Lim,Sec1-1,M,2023-12-07,Absent,Other,1
