Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2022,Nur Aisyah 966,Temasek Primary School,P6-1,Malay Language,63/100,66/100
2022,Suresh S/O Raj 881,Pei Chun Public School,P6-2,Tamil Language,87/100,87/100
2024,Nurul Huda 374,Raffles Girls' Primary School,P6-1,Malay Language,78/100,73/100
2022,Mohammad Firdaus 506,Rosyth School,P6-2,Higher Malay Language,73/100,69/100
2022,Teo Wen Jie 630,West Grove Primary School,P6-2,Foundation Chinese Language,74/100,73/100
2022,Lee Hui Min 596,Maris Stella Primary School,P6-3,Higher Chinese Language,79/100,81/100
2024,Imran Bin Azmi 760,Maris Stella Primary School,P6-2,Malay Language,61/100,56/100
2023,Suresh S/O Raj 230,Nan Hua Primary School,P6-3,Tamil Language,60/100,56/100
2024,Lakshmi D/O Kumar 304,Nan Hua Primary School,P6-3,Foundation Tamil Language,89/100,93/100
2024,Imran Bin Azmi 960,Catholic High School (Primary),P6-1,Foundation Malay Language,73/100,72/100
2023,Karthik S/O Ramesh 435,Henry Park Primary School,P6-3,Foundation Tamil Language,51/100,51/100
2023,Tan Wei Ling 426,Pei Hwa Presbyterian Primary School,P6-1,Chinese Language,53/100,55/100
2023,Siti Aminah 976,Gongshang Primary School,P6-3,Malay Language,56/100,51/100
2022,Mohammad Firdaus 700,Pei Chun Public School,P6-3,Foundation Malay Language,51/100,51/100
2022,Ainul Zafira 644,CHIJ St Nicholas Girls’ School,P6-1,Malay Language,71/100,73/100
2024,Siti Aminah 674,Anglo-Chinese School (Primary),P6-2,Foundation Malay Language,83/100,82/100
2022,Vignesh S/O Rajan 591,Nanyang Primary School,P6-3,Higher Tamil Language,52/100,49/100
2022,Meena D/O Ravi 989,Catholic High School (Primary),P6-3,Tamil Language,54/100,54/100
2023,Arunasarawasthy 104,Yumin Primary School,P6-1,Higher Tamil Language,67/100,66/100
2022,Wong Yu Ting 837,Temasek Primary School,P6-2,Foundation Chinese Language,89/100,88/100
2023,Muhd Irfan 911,Catholic High School (Primary),P6-2,Higher Malay Language,53/100,52/100
2023,Deepa D/O Muthu 649,Pei Chun Public School,P6-2,Foundation Tamil Language,90/100,94/100
2023,Deepa D/O Muthu 185,Nanyang Primary School,P6-2,Tamil Language,87/100,86/100
2022,Chen Qi En 579,Maris Stella Primary School,P6-3,Higher Chinese Language,78/100,73/100
2023,Sivakumar Raj 931,Nanyang Primary School,P6-2,Foundation Tamil Language,64/100,65/100
2023,Chua Kai Wen 210,Pei Chun Public School,P6-1,Chinese Language,76/100,80/100
2023,Aqil Zulkarnain 753,Gongshang Primary School,P6-3,Higher Malay Language,72/100,68/100
2022,Meena D/O Ravi 290,Pei Hwa Presbyterian Primary School,P6-3,Foundation Tamil Language,56/100,59/100
2024,Wong Yu Ting 832,West Grove Primary School,P6-2,Foundation Chinese Language,74/100,79/100
2022,Meena D/O Ravi 779,Yumin Primary School,P6-2,Foundation Tamil Language,60/100,64/100
2023,Wong Yu Ting 568,Catholic High School (Primary),P6-3,Higher Chinese Language,73/100,71/100
2023,Deepa D/O Muthu 552,West Grove Primary School,P6-1,Higher Tamil Language,72/100,74/100
2024,Mohammad Firdaus 405,St Joseph’s Institution Junior,P6-3,Foundation Malay Language,61/100,63/100
2024,Wong Yu Ting 299,Catholic High School (Primary),P6-3,Foundation Chinese Language,88/100,92/100
2022,Lim Jia Hao 643,Rosyth School,P6-1,Foundation Chinese Language,91/100,86/100
2024,Ong Shu Fen 248,Yumin Primary School,P6-1,Foundation Chinese Language,73/100,77/100
2024,Anand S/O Murugan 938,Pei Hwa Presbyterian Primary School,P6-3,Higher Tamil Language,94/100,95/100
2023,Arunasarawasthy 740,Catholic High School (Primary),P6-1,Foundation Tamil Language,78/100,83/100
2022,Siti Aminah 612,Pei Chun Public School,P6-1,Higher Malay Language,63/100,64/100
2024,Lee Hui Min 209,Henry Park Primary School,P6-2,Higher Chinese Language,79/100,78/100
2022,Lim Jia Hao 608,Nanyang Primary School,P6-1,Higher Chinese Language,62/100,63/100
2023,Ainul Zafira 595,West Grove Primary School,P6-2,Foundation Malay Language,61/100,60/100
2023,Chua Kai Wen 907,Ai Tong School,P6-2,Foundation Chinese Language,54/100,52/100
2024,Teo Wen Jie 190,Red Swastika School,P6-3,Higher Chinese Language,72/100,70/100
2022,Lim Jia Hao 777,Temasek Primary School,P6-3,Higher Chinese Language,75/100,76/100
2023,Goh Jun Wei 584,Catholic High School (Primary),P6-3,Foundation Chinese Language,50/100,45/100
2022,Mohammad Firdaus 777,Rosyth School,P6-3,Higher Malay Language,87/100,88/100
2022,Karthik S/O Ramesh 196,Pei Hwa Presbyterian Primary School,P6-1,Tamil Language,77/100,76/100
2023,Karthik S/O Ramesh 578,Nanyang Primary School,P6-3,Higher Tamil Language,65/100,60/100
2022,Karthik S/O Ramesh 787,Tao Nan School,P6-3,Higher Tamil Language,80/100,82/100
2022,Siti Aminah 381,Red Swastika School,P6-1,Higher Malay Language,80/100,81/100
2024,Priya D/O Kumar 586,Ai Tong School,P6-1,Higher Tamil Language,92/100,87/100
2024,Anand S/O Murugan 860,West Grove Primary School,P6-3,Foundation Tamil Language,61/100,62/100
2022,Aqil Zulkarnain 131,Yumin Primary School,P6-1,Higher Malay Language,58/100,63/100
2022,Nur Aisyah 514,Princess Elizabeth Primary School,P6-3,Malay Language,52/100,49/100
2023,Chen Qi En 953,Tao Nan School,P6-2,Foundation Chinese Language,85/100,82/100
2024,Lakshmi D/O Kumar 341,Nanyang Primary School,P6-1,Higher Tamil Language,87/100,89/100
2023,Priya D/O Kumar 704,Pei Hwa Presbyterian Primary School,P6-1,Higher Tamil Language,78/100,77/100
2023,Arunasarawasthy 570,Ai Tong School,P6-2,Higher Tamil Language,65/100,63/100
2022,Ong Shu Fen 872,Catholic High School (Primary),P6-2,Foundation Chinese Language,88/100,83/100
2024,Wong Yu Ting 299,Yumin Primary School,P6-3,Chinese Language,55/100,53/100
2024,Teo Wen Jie 801,Rosyth School,P6-2,Foundation Chinese Language,80/100,80/100
